buyer_county,year,prescription_rate,total_prescriptions,opioids_supplied_per_capita,high_school_graduate_includes_equivalency,some_college_or_associates_degree,bachelors_degree,graduate_or_professional_degree,median_household_income,dosage_unit,potential_pills_per_prescription,population,blind_and_disability_perc,unemployment_rate_bls,gdp_2020_dollars,white_alone,black_or_african_american_alone,american_indian_and_alaska_native_alone,asian_alone,native_hawaiian_and_other_pacific_islander_alone,some_other_race_alone,two_or_more_races,two_or_more_races!!two_races_including_some_other_race,"two_or_more_races!!two_races_excluding_some_other_race,_and_three_or_more_races",male_perc,up_to_18,from_18_to_34,from_35_to_59_years,opioid_visit_count
Cape May,2006,93.1,90981.044,34.13653759567762,37.0402642119317,23.067950249455414,18.12521959103366,8.974773382053264,58924.28629304524,3335959,36.66652802972892,97724,1.3988375424665382,7,4668984,90.66452457942778,6.104948630837869,0.16065654291678605,0.3714542998649257,0,1.4551184969915272,1.2432974499611151,0.4103393229912816,0.8329581269698334,47.44996111497687,32.58112337341459,16.945771335492964,29.08362158897491,NA
Cumberland,2006,85.2,131909.196,27.297268493699256,38.9223411876319,21.777769172684856,9.282851555693238,2.5789463493968907,55884.07393652937,4226245,32.03904752781603,154823,2.7993256815847776,7,5431622,67.07788894414912,20.371650207010585,0.890694535049702,1.1096542503374822,0,8.855273441284565,1.694838622168541,0.6116662253024422,1.083172396866099,51.63896837033257,35.9258791058298,21.807513220824642,31.42026420580241,NA
Essex,2006,42.5,334112.475,15.087613385282905,29.050630672415895,20.43936779463152,18.372436726399407,12.192279421880343,61109.32849426063,11861082,35.50026678890096,786147,2.751266620619299,5.9,45781737,42.574607547952226,41.12538749114351,0.3384863136283672,4.29588868239655,0.00508810693165527,9.86672975919262,1.7938120987550674,1.0060459430615394,0.787766155693528,48.03796236581708,40.598044603544565,19.206632968913933,28.9269213475336,NA
Gloucester,2006,83,234085.72999999998,33.49061273406115,36.576746377665216,25.83236059499459,18.1780700157423,7.933261225757398,78636.78291694801,9445391,40.35013582417006,282031,1.1598015820955851,4.8,10400335,84.73926625087313,9.731908903631162,0.13509153249110914,2.274927224312221,0.02588367945367707,1.238161762359457,1.8547606468792437,0.4542053887693197,1.400555258109924,48.77407093546454,36.52954348012285,20.400234928481407,31.13352992279173,NA
Hudson,2006,36.8,221221.728,11.8744331659863,29.292956269240857,17.797001097396354,19.786396169795378,10.72996280506162,58374.197501688046,7138268,32.2674814293106,601146,2.5364886400308744,5.6,34671857,56.53851144314359,14.173927797906,0.5181769486946599,11.3343513888473,0.0251186899688262,16.079787605673165,1.3301261257664527,0.6695544842683807,0.660571641498072,49.61407045875711,35.311854722371514,23.243289112663707,30.93315984499194,NA
Hunterdon,2006,35.6,46558.74800000001,12.544466788496976,25.490611008397742,22.30303165304168,28.170316084913015,18.243378700465552,109896.43247805536,1640603,35.23726625982296,130783,0.43507183655368054,3.4,6294465,91.7841003800188,1.9130926802413155,0,3.830773112713426,0,1.3740317931229593,1.098002033903489,0.04281902082074887,1.05518301308274,49.5874846119144,35.923629794257934,15.244148113489558,35.814455231930964,NA
Mercer,2006,54.3,199609.51499999998,15.73904054623849,26.557449853198783,19.897938203679487,21.435855682481723,17.34639329566669,76924.08676569886,5785750,28.98534170577991,367605,1.627290161994532,4.3,23723165,65.79235864582908,19.656152663864745,0.20674365147372856,8.295316984263,0.13574352905972442,4.56549829300472,1.3481862325049987,0.2023911535479659,1.1457950789570328,49.11358659430639,35.993440576185755,21.550129744284963,29.886374753672207,NA
Middlesex,2006,45.7,359645.74700000003,16.81285079119815,28.82029351440086,20.3418521509351,22.66547623109615,14.6870936311697,85598.29203241054,13231226,36.78960785820164,786971,0.8662326820175077,4.4,46370991,60.82625662190856,9.354220168214583,0.17802434905479364,18.09761732007914,0,9.676341313720584,1.867540227022343,0.7869413231237238,1.080598903898619,49.37805840367688,36.44601997787917,20.23300324899765,31.60017454721416,NA
Monmouth,2006,59.9,380535.71499999997,22.462038297771866,27.42802316770784,23.78678014370735,24.48467332734357,14.832400072252472,90888.3322079676,14269796,37.49922921163918,635285,0.8709476848973295,4.2,28049604,82.36051535924821,7.63247991059131,0.2192716654729767,5.194204176078452,0.01054644765735063,3.3443257750458457,1.238656665905853,0.4468860432719174,0.7917706226339358,48.92575773078225,37.76293840975817,16.584694976670974,32.67594813622969,NA
Morris,2006,47.2,232771.52000000002,14.470660637521291,26.03923442118778,19.704995371890956,28.156818249679016,18.94807560240064,105526.34807562456,7136351,30.658179316782395,493160,0.4702327844918485,3.4,40954114,83.69251358585448,3.072228080136264,0.02331900397436937,8.59538486495255,0.4572552518452429,3.1888231000081113,0.9704761132289724,0.32322167247951983,0.6472544407494525,49.32293778895288,37.517410728103755,15.404668310583315,33.47537048309827,NA
Ocean,2006,74.1,416690.235,23.74005352681231,38.13017004699638,25.483894770857663,16.937016709541002,7.48608810485256,64573.59216745442,13349863,32.03785901054293,562335,0.8457592004765843,5,15289127,90.62018192002988,3.29003174264451,0.11132154320822996,1.643859976704278,0.05263766260325251,3.1886686761450025,1.0932984786648527,0.4008286875261188,0.692469791138734,47.64366436376893,36.37406086885688,17.166283390459242,27.956814066132374,NA
