"Geography","year","total_population"
"New Jersey",2005,8521427
"New Jersey",2006,8724560
"New Jersey",2007,8685920
"New Jersey",2008,8682661
"New Jersey",2009,8707740
"New Jersey",2010,8801624
"New Jersey",2011,8821155
"New Jersey",2012,8864590
"New Jersey",2013,8899339
"New Jersey",2014,8938175
"New Jersey",2015,8958013
"New Jersey",2016,8944469
